actual_worth,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,has_parking,instance_date,master_project_ar,master_project_en,meter_rent_price,meter_sale_price,nearest_landmark_ar,nearest_landmark_en,nearest_mall_ar,nearest_mall_en,nearest_metro_ar,nearest_metro_en,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,procedure_area,procedure_id,procedure_name_ar,procedure_name_en,project_name_ar,project_name_en,project_number,property_sub_type_ar,property_sub_type_en,property_sub_type_id,property_type_ar,property_type_en,property_type_id,property_usage_ar,property_usage_en,reg_type_ar,reg_type_en,reg_type_id,rent_value,rooms_ar,rooms_en,transaction_id,trans_group_ar,trans_group_en,trans_group_id,load_timestamp,instance_date_parsed
2350000.0,330,مرسى دبي,Marsa Dubai,المرجان 6,Murjan 6,1,2023-09-28,جميرا بيتش ريزيدنس  - الجيه بي آر,Jumeriah Beach Residence  - JBR,,13438.55,برج العرب,Burj Al Arab,مارينا مول,Marina Mall,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,2.0,2.0,0.0,174.87,11,بيع,Sell,,,,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,ثلاث غرف,3 B/R,1-11-2023-31363,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-09-28
540000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,دايموند فيوز 2,DIAMOND VIEWS 2,1,2024-01-10,قرية جميرا الدائرية,Jumeirah Village Circle,,7872.87,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مول الإمارات,Mall of the Emirates,مدينة دبي للإنترنت,Dubai Internet City,1.0,1.0,0.0,68.59,11,بيع,Sell,دايموند فيوز 2,DIAMOND VIEWS 2,217.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2024-993,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-01-10
1000000.0,410,نخلة جميرا,Palm Jumeirah,جولدن ميل 10,GOLDEN MILE 10,1,2026-04-20,نخلة جميرا,Palm Jumeirah,,23929.17,برج العرب,Burj Al Arab,مارينا مول,Marina Mall,نخلة جميرا,Palm Jumeirah,1.0,1.0,0.0,41.79,11,بيع,Sell,جولدن ميل,GOLDEN MILE,388.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2026-14000,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2026-04-20
1674000.0,526,الخليج التجارى,Business Bay,ترليونير ريزيدنسز من بن غاطي,Trillionaire Residences by Binghatti,1,2024-04-22,الخليج التجاري,Business Bay,,31567.04,,,,,,,1.0,1.0,0.0,53.03,102,بيع - تسجيل مبدئى,Sell - Pre registration,ترليونير ريزيدنسز من بن غاطي,Trillionaire Residences by Binghatti,2643.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,استوديو,Studio,1-102-2024-24394,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-04-22
800000.0,526,الخليج التجارى,Business Bay,POLARIS,POLARIS,0,2023-11-20,الخليج التجاري,Business Bay,,16119.28,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,49.63,102,بيع - تسجيل مبدئى,Sell - Pre registration,بولاريس,POLARIS,457.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2023-61408,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2023-11-20
1200000.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,بن غاطي جيت,Binghatti Gate,1,2025-02-03,قرية جميرا الدائرية,Jumeirah Village Circle,,13407.82,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,مدينة دبي للإنترنت,Dubai Internet City,1.0,2.0,0.0,89.5,11,بيع,Sell,بوابة بن غاطي,Binghatti Gate,2232.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2025-4176,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-02-03
799217.0,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,311 بوليفارد بواسطة بام اسكان,311 Boulevard by Bam Eskan,1,2025-11-10,قرية جميرا الدائرية,Jumeirah Village Circle,,17943.8,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,مدينة دبي للإنترنت,Dubai Internet City,1.0,2.0,0.0,44.54,102,بيع - تسجيل مبدئى,Sell - Pre registration,311 بوليفارد بواسطة بام اسكان,311 Boulevard by Bam Eskan,3320.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,استوديو,Studio,1-102-2025-112903,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2025-11-10
625000.0,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,برج المنارة,AL MANARA TOWER,1,2024-06-04,قرية جميرا المثلثة,Jumeirah Village Triangle,,8347.8,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مارينا مول,Marina Mall,عقارات داماك,Damac Properties,1.0,1.0,0.0,74.87,11,بيع,Sell,المنارة تاور,AL MANARAH TOWER,1706.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفة,1 B/R,1-11-2024-20192,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-06-04
1781888.0,526,الخليج التجارى,Business Bay,رو? منازل مراسي دراي?,Rove Home Marasi Drive,1,2024-09-13,الخليج التجاري,Business Bay,,32228.03,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو الخليج التجاري,Business Bay Metro Station,1.0,1.0,0.0,55.29,102,بيع - تسجيل مبدئى,Sell - Pre registration,روف منازل مراسي درايف,Rove Home Marasi Drive,2966.0,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,على الخارطة,Off-Plan Properties,0,,غرفة,1 B/R,1-102-2024-71324,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-09-13
2490000.0,390,برج خليفة,Burj Khalifa,ساوث ريدج 6,South Ridge 6,1,2024-03-28,داون تاون دبي,DownTown Dubai,,17975.74,وسط مدينة دبي,Downtown Dubai,مول دبي,Dubai Mall,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,2.0,1.0,0.0,138.52,11,بيع,Sell,,,,شقه سكنيه,Flat,60.0,وحدة,Unit,3,سكني,Residential,العقارات القائمة,Existing Properties,1,,غرفتين,2 B/R,1-11-2024-11529,مبايعات,Sales,1,2026-08-21T18:27:40.000Z,2024-03-28
